Strain,Mash,Defense_Systems,Prophages,Target_Proteins,Spacer_Hit_Prophages
GCA_000797005.1,292,CBASS;CoCoNut;DS-1;DS-6;Gabija;Gao_Iet;JukAB;Lamassu-Fam;Pycsar;R-M;Shedu;Wadjet,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_000797045.1,292,BstA;CRISPR-Cas;R-M;RloC,P0029,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0026;P0032;P0037;P0038;P0040;P0041;P0045;P0046;P0048;P0052;P0057;P0059;P0060;P0065;P0067;P0071;P0081;P0084
GCA_000797085.1,292,BREX;CBASS;Gabija;JukAB;Pycsar;R-M;RloC;RnlAB;RosmerTA;Rst_3HP;Wadjet;Zorya,P0050,AmpD;DUF1615 protein;TpsB,P0049;P0072;P0081
GCA_000797105.1,292,BREX;Borvo;CBASS;CRISPR-Cas;PD-Lambda-2;Prometheus;R-M,,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_000797125.1,292,AbiE;CBASS;CoCoNut;Gabija;Gao_Iet;JukAB;Lamassu-Fam;Mokosh;R-M;RloC;Septu;SspBCDE;Wadjet,P0041,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_000797165.1,292,AbiE;CBASS;Gabija;Gao_Iet;JukAB;Lamassu-Fam;Mokosh;R-M;RloC;Septu;SspBCDE;Wadjet,P0041,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_000797225.1,292,PD-T7-3;Pycsar;R-M,P0016;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_000797285.1,292,CRISPR-Cas;Retron;SspBCDE,P0076,AmpD;DUF1615 protein;TpsB,P0001;P0002;P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0018;P0019;P0021;P0024;P0026;P0029;P0030;P0031;P0032;P0033;P0035;P0036;P0037;P0038;P0044;P0045;P0046;P0047;P0054;P0055;P0058;P0059;P0060;P0062;P0065;P0067;P0069;P0070;P0071;P0074;P0077;P0078;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_000797325.1,292,CBASS;CRISPR-Cas;Gabija;R-M;RosmerTA,P0053,AmpD;DUF1615 protein;TpsB,P0007;P0016;P0037;P0046;P0047;P0060;P0065;P0071;P0081
GCA_000797395.1,292,BREX;CBASS;Gabija;JukAB;Mokosh;Pycsar;R-M;RloC;RnlAB;RosmerTA;Rst_3HP;Wadjet;Zorya,P0043;P0050;P0089,AmpD;DUF1615 protein;Gamp2;TpsB,P0049;P0072;P0081
GCA_000816985.1,292,JukAB;Lamassu-Fam;Mokosh;Pycsar;R-M;RloC;Shedu,P0050,AmpD;DUF1615 protein;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0034;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0081;P0083
GCA_000817865.1,292,CBASS;Gabija;Mokosh;Prithvi;R-M;RloC;Shedu,P0041,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0065;P0081
GCA_000820805.1,292,CBASS;Lamassu-Fam;Old_exonuclease;PrrC;R-M,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0015;P0016;P0037;P0038;P0043;P0045;P0046;P0048;P0054;P0059;P0065;P0081;P0087
GCA_000823905.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000823925.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000823945.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000823965.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000823985.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824005.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824025.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824045.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824065.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824085.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824105.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824125.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824145.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824165.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824185.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824205.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824225.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824245.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824265.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824285.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824305.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824325.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824345.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824365.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824385.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824405.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824425.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824445.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824465.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824485.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824505.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0065;P0067;P0070;P0081;P0083
GCA_000824525.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824545.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824565.1,292,CBASS;Lamassu-Fam;Prithvi;Prometheus;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824585.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824605.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0030;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824625.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824645.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824665.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000824685.1,292,CBASS;Lamassu-Fam;Prithvi;R-M;Tiamat,P0010;P0018;P0050;P0089,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0038;P0040;P0045;P0046;P0047;P0067;P0070;P0081;P0083
GCA_000825745.1,292,BREX;Borvo;CRISPR-Cas;R-M;Retron,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_000829885.1,292,BREX;CBASS;JukAB;Pycsar;R-M;RnlAB;RosmerTA;Wadjet;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0081
GCA_000937495.2,292,CRISPR-Cas;Mokosh;PD-T7-2;RosmerTA;Rst_HelicaseDUF2290;dCTPdeaminase,P0006;P0007;P0043;P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0022;P0034;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0050;P0053;P0054;P0059;P0060;P0061;P0065;P0067;P0070;P0071;P0072;P0073;P0079;P0081;P0083
GCA_000950725.1,292,6A_MBL;BREX;CBASS;HEC-02;HEC-05;JukAB;Nantosuelta;Pycsar;R-M;RnlAB;RosmerTA;Wadjet;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0081
GCA_000952805.1,292,CRISPR-Cas;Dsr;Prithvi;R-M;RloC;RosmerTA;Shedu;VP1839,P0050;P0054,AmpD;DUF1615 protein;TpsB,P0007;P0011;P0016;P0037;P0046;P0065;P0081
GCA_000968815.1,292,CBASS;Gao_Qat;JukAB;PrrC;Shedu;Wadjet,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_000981825.1,292,BREX;CBASS;JukAB;Pycsar;R-M;RloC;RnlAB;RosmerTA;Rst_3HP;Wadjet;Zorya,P0031;P0043;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0054;P0081
GCA_000982155.1,292,All_UG;CRISPR-Cas;R-M,P0050,DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0070;P0074;P0081
GCA_001007215.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001007275.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001007415.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001007425.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001007475.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001010535.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001010545.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001013395.1,292,CBASS;CRISPR-Cas;DS-23;R-M,P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0029;P0032;P0034;P0037;P0038;P0041;P0042;P0045;P0046;P0047;P0049;P0053;P0059;P0065;P0067;P0070;P0071;P0074;P0081;P0083;P0084;P0087
GCA_001023615.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023635.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023675.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023685.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023705.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023735.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023755.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0065;P0067;P0070;P0071;P0081;P0083;P0084
GCA_001023765.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023775.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023815.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023835.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023845.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0046,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0065;P0067;P0070;P0071;P0081;P0084
GCA_001023875.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0029;P0048,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0065;P0067;P0070;P0071;P0081;P0083;P0084
GCA_001023895.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;SEFIR,P0013;P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0081;P0083;P0084
GCA_001023915.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_001023925.1,292,BREX;Borvo;CRISPR-Cas;PD-Lambda-2;Prometheus;SEFIR,P0029;P0046;P0048,AmpD;DUF1615 protein;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
